yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore,,,,,,,,,
2015,sch,mat,Regular,Andover,19,Andover Elementary School,22130,0,145 - 150,22,51,23,<10,27,73,NULL,145 , 150,147.5,27,3982.5,22130,147.5,3982.5,27
2015,sch,mat,Regular,Andover,19,Andover Elementary School,22130,3,25 - 30,<10,56,30,<10,37,63,2433,25 , 30,0,37,0,22130,0,0,0
2015,sch,mat,Regular,Andover,19,Andover Elementary School,22130,4,15 - 20,26,37,32,<10,37,63,2459,15 , 20,0,37,0,22130,0,0,0
2015,sch,mat,Regular,Andover,19,Andover Elementary School,22130,5,30 - 35,21,67,<10,<10,12,88,2489,30 , 35,0,12,0,22130,0,0,0
2015,sch,mat,Regular,Andover,19,Andover Elementary School,22130,6,10 -15,50,42,<10,<10,<10,>90,2475,10 ,15,0,10,0,22130,0,0,0
2015,sch,mat,Regular,Andover,19,Andover Elementary School,22130,7,20 - 25,10,62,29,<10,29,71,2544,20 , 25,0,29,0,22130,0,0,0
2015,sch,mat,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,30,36,27,<10,33,67,2542,30 , 35,0,33,0,22130,0,0,0
2015,sch,rea,Regular,Andover,19,Andover Elementary School,22130,0,145 - 150,13,28,40,19,59,41,NULL,145 , 150,0,59,0,22130,0,0,0
2015,sch,rea,Regular,Andover,19,Andover Elementary School,22130,3,25 - 30,26,19,37,19,56,44,2428,25 , 30,0,56,0,22130,0,0,0
2015,sch,rea,Regular,Andover,19,Andover Elementary School,22130,4,15 - 20,11,47,16,26,42,58,2477,15 , 20,0,42,0,22130,0,0,0
2015,sch,rea,Regular,Andover,19,Andover Elementary School,22130,5,30 - 35,15,21,33,30,64,36,2539,30 , 35,0,64,0,22130,0,0,0
2015,sch,rea,Regular,Andover,19,Andover Elementary School,22130,6,10 -15,<10,50,42,<10,42,58,2519,10 ,15,0,42,0,22130,0,0,0
2015,sch,rea,Regular,Andover,19,Andover Elementary School,22130,7,20 - 25,<10,33,62,<10,67,33,2571,20 , 25,0,67,0,22130,0,0,0
2015,sch,rea,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,12,18,48,21,70,30,2604,30 , 35,0,70,0,22130,0,0,0
2015,sch,sci,Regular,Andover,19,Andover Elementary School,22130,0,50 - 55,12,58,31,<10,31,69,NULL,50 , 55,0,31,0,22130,0,0,0
2015,sch,sci,Regular,Andover,19,Andover Elementary School,22130,4,15 - 20,<10,58,37,<10,37,63,NULL,15 , 20,0,37,0,22130,0,0,0
2015,sch,sci,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,15,58,27,<10,27,73,NULL,30 , 35,0,27,0,22130,0,0,0
2015,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,0,100 - 105,33,38,19,10,29,71,NULL,100 , 105,102.5,29,2972.5,20010,102.5,2972.5,29
2015,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,3,20 - 25,30,35,26,<10,35,65,2408,20 , 25,0,35,0,20010,0,0,0
2015,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,4,10 -15,33,33,25,<10,33,67,2452,10 ,15,0,33,0,20010,0,0,0
2015,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,5,15 - 20,60,13,13,13,27,73,2462,15 , 20,0,27,0,20010,0,0,0
2015,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,6,15 - 20,22,33,33,11,44,56,2511,15 , 20,0,44,0,20010,0,0,0
2015,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,7,15 - 20,38,56,<10,<10,<10,>90,2486,15 , 20,0,10,0,20010,0,0,0
2015,sch,mat,Regular,Ashland,23,Ashland Elementary School,20010,8,15 - 20,19,56,<10,19,25,75,2557,15 , 20,0,25,0,20010,0,0,0
2015,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,0,100 - 105,22,24,37,17,54,46,NULL,100 , 105,0,54,0,20010,0,0,0
2015,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,3,20 - 25,30,22,17,30,48,52,2427,20 , 25,0,48,0,20010,0,0,0
2015,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,4,10 -15,17,25,33,25,58,42,2490,10 ,15,0,58,0,20010,0,0,0
2015,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,5,15 - 20,40,20,27,13,40,60,2489,15 , 20,0,40,0,20010,0,0,0
2015,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,6,15 - 20,11,17,56,17,72,28,2538,15 , 20,0,72,0,20010,0,0,0
2015,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,7,15 - 20,19,25,50,<10,56,44,2551,15 , 20,0,56,0,20010,0,0,0
2015,sch,rea,Regular,Ashland,23,Ashland Elementary School,20010,8,15 - 20,13,38,44,<10,50,50,2573,15 , 20,0,50,0,20010,0,0,0
2015,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,0,25 - 30,11,64,21,<10,25,75,NULL,25 , 30,0,25,0,20010,0,0,0
2015,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,4,10 -15,<10,50,42,<10,50,50,NULL,10 ,15,0,50,0,20010,0,0,0
2015,sch,sci,Regular,Ashland,23,Ashland Elementary School,20010,8,15 - 20,19,75,<10,<10,<10,>90,NULL,15 , 20,0,10,0,20010,0,0,0
2015,sch,mat,Regular,Auburn,29,Auburn Village School,20530,0,385 - 390,16,28,34,22,56,44,NULL,385 , 390,387.5,56,21700,20530,387.5,21700,56
2015,sch,mat,Regular,Auburn,29,Auburn Village School,20530,3,65 - 70,18,29,38,15,53,47,2434,65 , 70,0,53,0,20530,0,0,0
2015,sch,mat,Regular,Auburn,29,Auburn Village School,20530,4,55 - 60,16,29,38,16,55,45,2487,55 , 60,0,55,0,20530,0,0,0
2015,sch,mat,Regular,Auburn,29,Auburn Village School,20530,5,70 - 75,19,49,11,21,33,67,2512,70 , 75,0,33,0,20530,0,0,0
2015,sch,mat,Regular,Auburn,29,Auburn Village School,20530,6,65 - 70,21,32,29,18,47,53,2535,65 , 70,0,47,0,20530,0,0,0
2015,sch,mat,Regular,Auburn,29,Auburn Village School,20530,7,60 - 65,<10,19,48,24,73,27,2593,60 , 65,0,73,0,20530,0,0,0
2015,sch,mat,Regular,Auburn,29,Auburn Village School,20530,8,65 - 70,13,<10,42,36,78,22,2616,65 , 70,0,78,0,20530,0,0,0
2015,sch,rea,Regular,Auburn,29,Auburn Village School,20530,0,385 - 390,12,23,42,23,65,35,NULL,385 , 390,0,65,0,20530,0,0,0
2015,sch,rea,Regular,Auburn,29,Auburn Village School,20530,3,65 - 70,15,21,33,30,64,36,2445,65 , 70,0,64,0,20530,0,0,0
2015,sch,rea,Regular,Auburn,29,Auburn Village School,20530,4,55 - 60,16,22,29,33,62,38,2495,55 , 60,0,62,0,20530,0,0,0
2015,sch,rea,Regular,Auburn,29,Auburn Village School,20530,5,70 - 75,13,29,34,24,59,41,2528,70 , 75,0,59,0,20530,0,0,0
2015,sch,rea,Regular,Auburn,29,Auburn Village School,20530,6,65 - 70,18,18,50,14,64,36,2538,65 , 70,0,64,0,20530,0,0,0
2015,sch,rea,Regular,Auburn,29,Auburn Village School,20530,7,60 - 65,<10,21,55,23,77,23,2605,60 , 65,0,77,0,20530,0,0,0
2015,sch,rea,Regular,Auburn,29,Auburn Village School,20530,8,65 - 70,<10,28,49,15,64,36,2592,65 , 70,0,64,0,20530,0,0,0
2015,sch,sci,Regular,Auburn,29,Auburn Village School,20530,0,120 - 125,<10,39,56,<10,57,43,NULL,120 , 125,0,57,0,20530,0,0,0
2015,sch,sci,Regular,Auburn,29,Auburn Village School,20530,4,55 - 60,<10,23,75,<10,75,25,NULL,55 , 60,0,75,0,20530,0,0,0
2015,sch,sci,Regular,Auburn,29,Auburn Village School,20530,8,65 - 70,<10,52,40,<10,42,58,NULL,65 , 70,0,42,0,20530,0,0,0
2015,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,0,300 - 305,27,38,23,12,36,64,NULL,300 , 305,302.5,36,10890,22485,302.5,10890,36
2015,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,3,50 - 55,25,29,37,10,46,54,2427,50 , 55,0,46,0,22485,0,0,0
2015,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,4,55 - 60,16,47,21,16,37,63,2472,55 , 60,0,37,0,22485,0,0,0
2015,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,5,50 - 55,40,36,15,<10,25,75,2481,50 , 55,0,25,0,22485,0,0,0
2015,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,6,35 - 40,16,51,11,22,32,68,2534,35 , 40,0,32,0,22485,0,0,0
2015,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,7,60 - 65,28,31,33,<10,41,59,2530,60 , 65,0,41,0,22485,0,0,0
2015,sch,mat,Regular,Barnstead,31,Barnstead Elementary School,22485,8,40 - 45,34,37,17,12,29,71,2536,40 , 45,0,29,0,22485,0,0,0
2015,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,0,300 - 305,30,30,29,11,40,60,NULL,300 , 305,0,40,0,22485,0,0,0
2015,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,3,50 - 55,25,29,23,23,46,54,2428,50 , 55,0,46,0,22485,0,0,0
2015,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,4,55 - 60,32,23,28,18,46,54,2460,55 , 60,0,46,0,22485,0,0,0
2015,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,5,50 - 55,36,26,32,<10,38,62,2472,50 , 55,0,38,0,22485,0,0,0
2015,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,6,35 - 40,14,46,27,14,41,59,2528,35 , 40,0,41,0,22485,0,0,0
2015,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,7,60 - 65,36,33,30,<10,31,69,2504,60 , 65,0,31,0,22485,0,0,0
2015,sch,rea,Regular,Barnstead,31,Barnstead Elementary School,22485,8,40 - 45,32,29,34,<10,39,61,2534,40 , 45,0,39,0,22485,0,0,0
2015,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,0,95 - 100,13,63,22,<10,23,77,NULL,95 , 100,0,23,0,22485,0,0,0
2015,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,4,55 - 60,<10,60,30,<10,32,68,NULL,55 , 60,0,32,0,22485,0,0,0
2015,sch,sci,Regular,Barnstead,31,Barnstead Elementary School,22485,8,40 - 45,20,68,12,<10,12,88,NULL,40 , 45,0,12,0,22485,0,0,0
2015,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,0,210 - 215,16,32,41,11,52,48,NULL,210 , 215,212.5,52,11050,22045,212.5,11050,52
2015,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,3,110 - 115,18,24,42,15,58,42,2442,110 , 115,0,58,0,22045,0,0,0
2015,sch,mat,Regular,Barrington,33,Barrington Elementary School,22045,4,100 - 105,14,40,40,<10,47,53,2477,100 , 105,0,47,0,22045,0,0,0
2015,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,0,210 - 215,19,30,29,22,51,49,NULL,210 , 215,0,51,0,22045,0,0,0
2015,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,3,110 - 115,17,32,25,25,50,50,2439,110 , 115,0,50,0,22045,0,0,0
2015,sch,rea,Regular,Barrington,33,Barrington Elementary School,22045,4,100 - 105,20,28,33,18,51,49,2481,100 , 105,0,51,0,22045,0,0,0
2015,sch,sci,Regular,Barrington,33,Barrington Elementary School,22045,0,100 - 105,<10,39,56,<10,57,43,NULL,100 , 105,0,57,0,22045,0,0,0
2015,sch,sci,Regular,Barrington,33,Barrington Elementary School,22045,4,100 - 105,<10,39,56,<10,57,43,NULL,100 , 105,0,57,0,22045,0,0,0
2015,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,0,410 - 415,25,37,26,12,38,62,NULL,410 , 415,412.5,38,15675,22030,412.5,15675,38
2015,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,5,95 - 100,14,41,31,15,46,54,2517,95 , 100,0,46,0,22030,0,0,0
2015,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,6,105 - 110,33,34,25,<10,33,67,2510,105 , 110,0,33,0,22030,0,0,0
2015,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,7,100 - 105,18,40,30,12,42,58,2550,100 , 105,0,42,0,22030,0,0,0
2015,sch,mat,Regular,Barrington,33,Barrington Middle School,22030,8,105 - 110,34,33,19,13,32,68,2544,105 , 110,0,32,0,22030,0,0,0
2015,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,0,410 - 415,14,27,44,15,59,41,NULL,410 , 415,0,59,0,22030,0,0,0
2015,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,5,95 - 100,11,21,47,21,68,32,2527,95 , 100,0,68,0,22030,0,0,0
2015,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,6,105 - 110,17,25,47,10,58,42,2536,105 , 110,0,58,0,22030,0,0,0
2015,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,7,100 - 105,10,34,41,15,56,44,2564,100 , 105,0,56,0,22030,0,0,0
2015,sch,rea,Regular,Barrington,33,Barrington Middle School,22030,8,105 - 110,17,29,42,13,55,45,2575,105 , 110,0,55,0,22030,0,0,0
2015,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,0,105 - 110,27,58,15,<10,15,85,NULL,105 , 110,0,15,0,22030,0,0,0
2015,sch,sci,Regular,Barrington,33,Barrington Middle School,22030,8,105 - 110,27,58,15,<10,15,85,NULL,105 , 110,0,15,0,22030,0,0,0
2015,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,150 - 155,<10,27,35,28,63,37,NULL,150 , 155,152.5,63,9607.5,20325,152.5,9607.5,63
2015,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,3,15 - 20,26,32,21,21,42,58,2428,15 , 20,0,42,0,20325,0,0,0
2015,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4,10 -15,<10,14,43,43,86,14,2526,10 ,15,0,86,0,20325,0,0,0
2015,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5,25 - 30,12,36,40,12,52,48,2522,25 , 30,0,52,0,20325,0,0,0
2015,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,6,20 - 25,17,39,35,<10,43,57,2534,20 , 25,0,43,0,20325,0,0,0
2015,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,7,30 - 35,<10,<10,38,50,88,13,2631,30 , 35,0,88,0,20325,0,0,0
2015,sch,mat,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,35 - 40,<10,32,35,30,65,35,2628,35 , 40,0,65,0,20325,0,0,0
2015,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,150 - 155,<10,13,45,33,77,23,NULL,150 , 155,0,77,0,20325,0,0,0
2015,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,3,20 - 25,25,20,30,25,55,45,2435,20 , 25,0,55,0,20325,0,0,0
2015,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4,10 -15,<10,<10,14,71,86,14,2560,10 ,15,0,86,0,20325,0,0,0
